sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
683,2017-05-07,Timesaverz,Consumer Internet,Mumbai,BCCL,Private Equity,1000000.0,2017,5
686,2017-07-07,Clip App,Consumer Internet,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000.0,2017,7
688,2017-10-07,Autorox.co,Technology,Hyderabad,Mitsui & Co.,Private Equity,3000000.0,2017,10
689,2017-11-07,Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0,2017,11
690,2017-11-07,Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.0,2017,11
692,2017-12-07,Innoviti,Technology,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000.0,2017,12
722,2017-02-06,RentOnGo,eCommerce,Bangalore,TVS Motor Company,Seed Funding,234000.0,2017,2
723,2017-05-06,Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,50000000.0,2017,5
725,2017-06-06,Spinny,eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000.0,2017,6
728,2017-06-06,BHIVE Workspace,Consumer Internet,Bangalore,Blume Ventures,Private Equity,1200000.0,2017,6
729,2017-06-06,wayForward,Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000.0,2017,6
732,2017-07-06,ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,650000.0,2017,7
733,2017-07-06,GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,600000.0,2017,7
734,2017-08-06,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.0,2017,8
735,2017-08-06,Multiplier Solutions,Technology,Hyderabad,Norwest Venture Partners,Private Equity,1500000.0,2017,8
736,2017-08-06,ABI Health,Technology,Bangalore,Norwest Venture Partners,Private Equity,1500000.0,2017,8
737,2017-08-06,Stockal,Consumer Internet,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000.0,2017,8
738,2017-09-06,Guidoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000.0,2017,9
739,2017-09-06,eSahai.in,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000.0,2017,9
741,2017-12-06,LendingKart,Consumer Internet,Ahmedabad,Yes Bank,Debt Funding,7800000.0,2017,12
742,2017-12-06,Boxx.ai,Technology,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000.0,2017,12
743,2017-12-06,PeeSafe.in,Healthcare,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.0,2017,12
744,2017-12-06,Vista Rooms,Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.0,2017,12
745,2017-12-06,CoverFox,Consumer Internet,Mumbai,Transamerica,Private Equity,15000000.0,2017,12
786,2017-01-05,Ace2three,Consumer Internet,Hyderabad,Clairvest Group,Private Equity,73700000.0,2017,1
787,2017-01-05,Power2SME,eCommerce,Gurgaon,International Finance Corporation,Private Equity,10000000.0,2017,1
788,2017-02-05,Innovapptive,Technology,Hyderabad,Hyderabad Angels,Seed Funding,1500000.0,2017,2
789,2017-02-05,4tigo,Logistics,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,10000000.0,2017,2
791,2017-02-05,ZippServe,Consumer Internet,Bangalore,undisclosed investors,Seed Funding,390000.0,2017,2
792,2017-03-05,Ola,Consumer Internet,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,104500000.0,2017,3
793,2017-03-05,Sumeru,Technology,Bangalore,undisclosed investors,Seed Funding,1000000.0,2017,3
799,2017-05-05,Balance App,Consumer Internet,Bangalore,Rainmatter,Seed Funding,233000.0,2017,5
800,2017-08-05,YepMe,eCommerce,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000.0,2017,8
803,2017-08-05,MyGreens,Food & Beverage,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,1000000.0,2017,8
804,2017-08-05,Ace Turtle,Technology,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000.0,2017,8
805,2017-08-05,CureFit,Technology,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000.0,2017,8
806,2017-09-05,Curie Labs,Technology,New Delhi,Satoshi Studios,Seed Funding,50000.0,2017,9
811,2017-10-05,Vidooly,Consumer Internet,Noida,"Times Internet, GVFL",Private Equity,1400000.0,2017,10
812,2017-10-05,Shopclues,eCommerce,Gurgaon,InnoVen Capital,Private Equity,7700000.0,2017,10
813,2017-10-05,Fourth Ambit,Consumer Internet,Bangalore,1Crowd,Seed Funding,600000.0,2017,10
815,2017-11-05,Early Salary,Consumer Internet,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.0,2017,11
818,2017-12-05,Legal Raasta,Consumer Internet,New Delhi,Impanix Capital,Private Equity,5000000.0,2017,12
820,2017-12-05,Remit Guru,Consumer Internet,Mumbai,"Infibeam, CCavenue",Private Equity,466000.0,2017,12
821,2017-12-05,Aequm,eCommerce,Bangalore,undisclosed investors,Seed Funding,1000000.0,2017,12
854,2017-01-04,Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.0,2017,1
855,2017-03-04,Eruditus,Education,Mumbai,Bertelsmann India,Private Equity,8200000.0,2017,3
857,2017-03-04,Healthcare at Home,Healthcare,Noida,Quadria Capital Advisors,Private Equity,40000000.0,2017,3
860,2017-04-04,WayCool,Food & Beverage,Chennai,Aspada Investments,Private Equity,2700000.0,2017,4
861,2017-04-04,Perfios,Technology,Bangalore,Bessemer Venture Partners,Private Equity,6100000.0,2017,4
862,2017-04-04,Whatfix,Technology,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000.0,2017,4
863,2017-04-04,ElastiRun,Technology,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000.0,2017,4
864,2017-04-04,Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,500000.0,2017,4
865,2017-04-04,Konsult App,Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,500000.0,2017,4
867,2017-05-04,Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,3000000.0,2017,5
869,2017-06-04,Medwell Ventures,Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000.0,2017,6
870,2017-06-04,Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,5000000.0,2017,6
874,2017-07-04,PharmEasy,eCommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000.0,2017,7
